pp_no,emotion,trial,muscle,bin,zdiff
pp401,323,trial2,cheek,diff_bin1,0.11940585359175918
pp401,323,trial2,cheek,diff_bin2,0.04561496629689682
pp401,323,trial2,cheek,diff_bin3,-0.0958142166001229
pp401,323,trial2,cheek,diff_bin4,-0.10441980236639026
pp401,323,trial2,cheek,diff_bin5,0.011192623231827459
pp401,323,trial2,cheek,diff_bin6,-0.013122848076597693
pp401,323,trial3,brow,diff_bin1,-0.27532149180276744
pp401,323,trial3,brow,diff_bin2,-0.4244761178554907
pp401,323,trial3,brow,diff_bin3,-0.47883015609198387
pp401,323,trial3,brow,diff_bin4,-0.2619881655217499
pp401,323,trial3,brow,diff_bin5,-0.17326944583370263
pp401,323,trial3,brow,diff_bin6,0.6220943014751026
pp401,323,trial3,cheek,diff_bin1,-0.3977603614146681
pp401,323,trial3,cheek,diff_bin2,0.20728470138560418
pp401,323,trial3,cheek,diff_bin3,-0.032639565951496974
pp401,323,trial3,cheek,diff_bin4,-0.019811613337294642
pp401,323,trial3,cheek,diff_bin5,-0.14803752212251786
pp401,323,trial3,cheek,diff_bin6,0.15925695403274465
pp401,323,trial5,brow,diff_bin1,-0.4186069024590616
pp401,323,trial5,brow,diff_bin2,-0.2680700336499332
pp401,323,trial5,brow,diff_bin3,0.14028700713855397
pp401,323,trial5,brow,diff_bin4,0.3830088351633306
pp401,323,trial5,brow,diff_bin5,0.11734177738222522
pp401,323,trial5,brow,diff_bin6,-0.09505577109433595
pp401,323,trial5,cheek,diff_bin1,-0.09955402723686527
pp401,323,trial5,cheek,diff_bin2,-0.1132666662382538
pp401,323,trial5,cheek,diff_bin3,-0.102878303358414
pp401,323,trial5,cheek,diff_bin4,-0.003793427993541487
pp401,323,trial5,cheek,diff_bin5,-0.07451472161165118
pp401,323,trial5,cheek,diff_bin6,0.005911313587108891
pp401,323,trial6,brow,diff_bin1,0.21490685071126636
pp401,323,trial6,brow,diff_bin2,-0.12448690916918204
pp401,323,trial6,brow,diff_bin3,-0.3897073962136025
pp401,323,trial6,brow,diff_bin4,-0.012248797349068696
pp401,323,trial6,brow,diff_bin5,-0.6781070310192818
pp401,323,trial6,brow,diff_bin6,-0.5146408761194694
pp401,323,trial6,cheek,diff_bin1,0.04546751856569903
